id,Restaurant,Address,City,State,ZIP_Code,Phone_Number,Type,Lat,Long
red_kitchen_bar,Red Kitchen & Bar,315 Chestnut St,Saint Louis,Missouri,63102,(314) 259-3244,American cuisine,38.626175,-90.187728
rooster,Rooster,1104 Locust St,Saint Louis,Missouri,63101,(314) 241-8118,Breakfast and Brunch,38.62984,-90.195708
rosalitas_cantina,Rosalitas Cantina,1235 Washington Ave,Saint Louis,Missouri,63103,(314) 621-2700,Mexican cuisine,38.632256,-90.19799
ruth_s_chris_steak_house,Ruth's Chris Steak House,315 Chestnut St,Saint Louis,Missouri,63102,(314) 259-3200,Steak house,38.626175,-90.187728
samwiches,Samwiches,701 N 15th St # 29,Saint Louis,Missouri,63103,(314) 436-2726,Sandwich shop,38.633585,-90.20044
sapporo,Sapporo,3043 Olive St,Saint Louis,Missouri,63103,(314) 899-0698,Japanese cuisine,38.635227,-90.223329
sauce_on_the_side,Sauce On The Side,411 N 8th St,Saint Louis,Missouri,63101,(314) 241-5667,Calzones,38.629791,-90.192223
schlafly_tap_room,Schlafly Tap Room,2100 Locust St,Saint Louis,Missouri,63103,(314) 241-2337,Pub,38.632975,-90.209775
sen_thai_asian_bistro,Sen-Thai Asian Bistro,1000 Washington Ave # 102,Saint Louis,Missouri,63101,(314) 436-3456,Thai cusine,38.630978,-90.194495
sliced_pint,Sliced Pint,1511 Washington Ave,Saint Louis,Missouri,63103,(314) 696-8787,Pizza,38.632955,-90.200778
smoki_o_s,Smoki O's,1545 N Broadway,Saint Louis,Missouri,63102,(314) 621-8180,Barbeque,38.640977,-90.186335
snarf_s_sandwiches,Snarf's Sandwiches,374 S Grand Blvd # A,Saint Louis,Missouri,63103,(314) 833-4828,Sandwich shop,38.631913,-90.233495
snarf_s_sandwiches_2,Snarf's Sandwiches,614 Washington Ave,Saint Louis,Missouri,63101,(314) 241-0105,Sandwich shop,38.630196,-90.190117
southern,Southern,3108 Olive St,Saint Louis,Missouri,63103,(314) 531-4668,American cuisine,38.635053,-90.224137
st_louis_bread_co,St Louis Bread Co,116 N 6th St,Saint Louis,Missouri,63101,(314) 588-0423,Sandwich shop,38.626743,-90.19013
st_louis_bread_co_2,St Louis Bread Co,20 N Grand Blvd,Saint Louis,Missouri,63103,(314) 659-2802,Sandwich shop,38.633723,-90.233127
station_grille_st_louis_union,Station Grille St Louis Union,1820 Market St # 221,Saint Louis,Missouri,63103,(314) 231-1234,American cuisine,38.6292,-90.207245
planet_sub,Planet Sub,211 N 9th St,Saint Louis,Missouri,63101,(314) 588-7827,Sandwich shop,38.628417,-90.194011
sugarfire_smokehouse_barbeque,Sugarfire Smokehouse Barbeque,605 Washington Ave,Saint Louis,Missouri,63101,(314) 394-1720,Barbeque,38.630781,-90.189757
sushi_ai,Sushi Ai,910 Olive St,Saint Louis,Missouri,63101,(314) 588-7888,Japanese cuisine,38.628746,-90.193979
switchlist_restaurant,Switchlist Restaurant,501 Olive St,Saint Louis,Missouri,63101,(314) 732-4334,American cuisine,38.627842,-90.189262
syberg_s,Syberg's,2211 Market St,Saint Louis,Missouri,63103,(314) 231-2430,American cuisine,38.631271,-90.212424
the_pepper_lounge,The Pepper Lounge,2005 Locust St,Saint Louis,Missouri,63103,(314)241-2005,Lounge,38.6329798,-90.2097723
three_sixty,Three Sixty,1 S Broadway,Saint Louis,Missouri,63102,(314) 241-8439,Bar,38.6252,-90.191028
tigin_irish_pub,Tigin Irish Pub,333 Washington Ave,Saint Louis,Missouri,63102,(314) 241-8666,Pub,38.630103,-90.186498
tony_s,Tony's,410 Market St,Saint Louis,Missouri,63102,(314) 231-7007,Italian cuisine,38.625088,-90.188926
triumph_grill,Triumph Grill,3419 Olive St,Saint Louis,Missouri,63103,(314) 446-1801,American cuisine,38.637012,-90.228901
village_cafe,Village Cafe,800 Market St # 120,Saint Louis,Missouri,63101,(314) 436-9556,Café,38.625988,-90.194249
vin_de_set_rooftop_bar_bistro,Vin De Set Rooftop Bar-Bistro,2017 Chouteau Ave # C,Saint Louis,Missouri,63103,(314) 241-8989,French cuisine,38.621342,-90.21291
vito_s_sicilian_pizzeria,Vito's Sicilian Pizzeria,3515 Lindell Blvd,Saint Louis,Missouri,63103,(314) 534-8486,Pizza,38.637041,-90.230613
washington_avenue_bistro,Washington Avenue Bistro,827 Washington Ave,Saint Louis,Missouri,63101,(314) 418-5750,Bistro,38.631194,-90.192418
white_knight_diner,White Knight Diner,1801 Olive St,Saint Louis,Missouri,63103,(314) 621-5949,Diner,38.631742,-90.205853
wok,Wok,999 N 2nd St,Saint Louis,Missouri,63102,(314) 881-7777,Asian cuisine,38.632865,-90.1841
yiro_gyro,Yiro Gyro,750 Locust St,Saint Louis,Missouri,63101,(314) 925-8152,Sandwich shop,38.629072,-90.191577
zenia,Zenia,800 Washington Ave,Saint Louis,Missouri,63101,(314) 418-5900,Bar,38.630295,-90.193558
